id,titre,prix,prix_valide,ville_norm,quartier,source,type_transaction,type_bien,texte_modele,lien,image_url
fb_69a97f6385f1dd70f9aef2bb,APPARTEMENT DE CHAMBRE SALON,40000.0,True,Inconnu,Inconnu,Facebook,autre,chambre_salon,appartement de chambre salon chambre_salon autre inconnu inconnu,https://www.facebook.com/marketplace/item/807259865050392/,https://scontent-cph2-1.xx.fbcdn.net/v/t39.30808-6/644848156_2153975305337895_6459611338963530544_n.jpg?stp=c0.106.960.960a_dst-jpg_s261x260_tt6&_nc_cat=110&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=VtCK5HmvvkUQ7kNvwHdQFDo&_nc_oc=AdknIvuaESXiBZRo9Sd8lOu4B8R3bnK0VK-hDTRhoBh7p-8hUQlcl5fdXN94OCgERXg&_nc_zt=23&_nc_ht=scontent-cph2-1.xx&_nc_gid=Qy3adJeJXGWHCoKwhWLcCg&_nc_ss=8&oh=00_Afzchm3e6FkIb0KzcI-ax9BMZyIvqBzamRiaGyROBcDiIw&oe=69AF3839
fb_69a97f6385f1dd70f9aef2bc,À louer chambre salon wcd cuisine interne à Amadahomé,43000.0,True,Inconnu,Inconnu,Facebook,location,chambre_salon,a louer chambre salon wcd cuisine interne a amadahome chambre_salon location inconnu inconnu,https://www.facebook.com/marketplace/item/4654920498063242/,https://scontent-cph2-1.xx.fbcdn.net/v/t39.30808-6/646104263_945969291272446_6572270966649295007_n.jpg?stp=c0.106.960.960a_dst-jpg_s261x260_tt6&_nc_cat=110&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=ppSvXYbcjhMQ7kNvwGr8MMN&_nc_oc=AdkhR3Kk4O_NlEipX6Arv3P65zlGDeNvX4aQ3FIFnD5znY9mWcKKhSLKe_oxAa3sA9k&_nc_zt=23&_nc_ht=scontent-cph2-1.xx&_nc_gid=Qy3adJeJXGWHCoKwhWLcCg&_nc_ss=8&oh=00_AfyI28P5EmNfxaUtyyc1L2Q0pZImlaWh5A_HZBF9zq_e3w&oe=69AF5ECE
fb_69a97f8f85f1dd70f9aef2cc,Villa a louer,120000.0,True,Inconnu,Inconnu,Facebook,location,villa,villa a louer villa location inconnu inconnu,https://www.facebook.com/marketplace/item/803409056128696/,https://scontent-cph2-1.xx.fbcdn.net/v/t39.84726-6/646374954_779488115217967_7738258427009615822_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=111&ccb=1-7&_nc_sid=92e707&_nc_ohc=JPhg0zLh1XgQ7kNvwGYAysu&_nc_oc=Adk_0T04DQG0iJBX6xTGeyi3ybwRhq3mUrftjP_xniwA94MWK8mKFGH14IQZo8PTtkA&_nc_zt=14&_nc_ht=scontent-cph2-1.xx&_nc_gid=7-8TH4_1--jGZvEpr35VPQ&_nc_ss=8&oh=00_AfwQfXiLuLUJRNqDAtc0qv3mUuxPXO6x8G31CngeWJgvvw&oe=69AF42BF
fb_69a97f6385f1dd70f9aef2bd,Chambre salon wc douche interne,25000.0,True,Inconnu,Inconnu,Facebook,autre,chambre_salon,chambre salon wc douche interne chambre_salon autre inconnu inconnu,https://www.facebook.com/marketplace/item/1485423073153245/,https://scontent-cph2-1.xx.fbcdn.net/v/t39.84726-6/642826717_1912816469324980_1208783550834497271_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=100&ccb=1-7&_nc_sid=92e707&_nc_ohc=IkcoILNj93cQ7kNvwHhM4v5&_nc_oc=AdmsO-ziwZCtMOxm6cUjpHJf5QWmcG7Y_9XjlI4jjr38ruMw6VO1t_GVxDwZZCaWJDQ&_nc_zt=14&_nc_ht=scontent-cph2-1.xx&_nc_gid=Qy3adJeJXGWHCoKwhWLcCg&_nc_ss=8&oh=00_AfxQWIqEH4ot3BRt1zuRuP9cvJtDY7hHBdKlsx6xQgzsqQ&oe=69AF3ECE
fb_69a97f6385f1dd70f9aef2be,Chambre salon wc douche cuisine interne,35000.0,True,Inconnu,Inconnu,Facebook,autre,chambre_salon,chambre salon wc douche cuisine interne chambre_salon autre inconnu inconnu,https://www.facebook.com/marketplace/item/1578415590108716/,https://scontent-cph2-1.xx.fbcdn.net/v/t39.84726-6/641419748_1227785232887770_5070302215355709034_n.jpg?stp=c42.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=110&ccb=1-7&_nc_sid=92e707&_nc_ohc=T7DZWmCvhnIQ7kNvwHleLv8&_nc_oc=AdkOatL1nUx_eosJWJLlWNRTOZijMT-y4sZ_nwju0SCCEc6HZStlQ72h055JtNdQKlk&_nc_zt=14&_nc_ht=scontent-cph2-1.xx&_nc_gid=Qy3adJeJXGWHCoKwhWLcCg&_nc_ss=8&oh=00_AfwkilXj3Sk8Mdtj-_Zbl8HdRs8AEplZd8lg11QuV7Zr7Q&oe=69AF661C
fb_69a97f6385f1dd70f9aef2bf,A LOUER CHAMBRE SALON SALON wc DOUCHE INTERNE terrasse fermé situé a CACAVELI non loin du marché. Co,30000.0,True,Lomé,Cacavéli,Facebook,location,chambre_salon,a louer chambre salon salon wc douche interne terrasse ferme situe a cacaveli non loin du marche. co chambre_salon location lome cacaveli,https://www.facebook.com/marketplace/item/814821894209486/,https://scontent-cph2-1.xx.fbcdn.net/v/t39.30808-6/642856220_969387862433869_3431278586160296284_n.jpg?stp=c0.83.750.750a_dst-jpg_s261x260_tt6&_nc_cat=106&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=4lwBIKUnoS8Q7kNvwG_O4BM&_nc_oc=AdmyimizFah6CusWKQ6KLuoI_UCUKRzUyVkVJRRxNDGzv4J7nMNk4bllEGJge7qoQaA&_nc_zt=23&_nc_ht=scontent-cph2-1.xx&_nc_gid=Qy3adJeJXGWHCoKwhWLcCg&_nc_ss=8&oh=00_Afw097xuJgTx_gJYgpthUCDEwF3D8OyCU3Ea0HgBtvPRIA&oe=69AF481D
fb_69a97f6385f1dd70f9aef2c0,Chambre salon WC douche interne plus terrasse,33000.0,True,Inconnu,Inconnu,Facebook,autre,chambre_salon,chambre salon wc douche interne plus terrasse chambre_salon autre inconnu inconnu,https://www.facebook.com/marketplace/item/765816509652013/,https://scontent-cph2-1.xx.fbcdn.net/v/t39.84726-6/645636015_3807144999421265_6367722612963347233_n.jpg?stp=c0.101.261.261a_dst-jpg_p261x260_tt6&_nc_cat=110&ccb=1-7&_nc_sid=92e707&_nc_ohc=mMQP65KFF-wQ7kNvwHr0F48&_nc_oc=AdkBSSa8f7myWZjvGdemDiumNaz1lsLgaayNYum1onJgl3oVTrEfOXoaM_BCOXw37ds&_nc_zt=14&_nc_ht=scontent-cph2-1.xx&_nc_gid=Qy3adJeJXGWHCoKwhWLcCg&_nc_ss=8&oh=00_AfwNM_zhzPI6iq0TYNNwVlZOdHikR0KIGIxm-yEgygMziA&oe=69AF4051
fb_69a97f8e85f1dd70f9aef2c1,VILLA DE 3 CHAMBRES ADIDOGOMÉ LAPAMPA,140000.0,True,Lomé,Adidogomé,Facebook,autre,villa,villa de 3 chambres adidogome lapampa villa autre lome adidogome,https://www.facebook.com/marketplace/item/1625643695455878/,https://scontent-cph2-1.xx.fbcdn.net/v/t39.84726-6/645716001_1289580896436282_8999581275296559660_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=105&ccb=1-7&_nc_sid=92e707&_nc_ohc=cDxX22nn9ncQ7kNvwGF64UR&_nc_oc=AdlY09FtOi1TgwZ-owxyXDUVm_LEE73AAGCQnyLOcnfWm1kWbqXojjZ-7gAKxSjvCS0&_nc_zt=14&_nc_ht=scontent-cph2-1.xx&_nc_gid=7-8TH4_1--jGZvEpr35VPQ&_nc_ss=8&oh=00_AfyvliLoCoJPGWwQgnptmfBYSc0mpAwS-BZVxIN2LPOU-g&oe=69AF6137
coin_69a9781885f1dd70f9aef1e0,Location villa 5 pièces Tokoin sika Toyota,1500000.0,True,Lomé,Tokoin,CoinAfrique,location,villa,location villa 5 pieces tokoin sika toyota villa location lome tokoin,https://tg.coinafrique.com/annonce/villas/location-villa-5-pieces-tokoin-sika-toyota-5804262,https://images.coinafrique.com/thumb_5804262_uploaded_image1_1772626729.jpg
fb_69a97f8e85f1dd70f9aef2c2,VILLA DUPLEX DE 5 CHAMBRES ET PISCINE À VENDRE À AGBALEPEDO,195.0,True,Inconnu,Inconnu,Facebook,vente,villa,villa duplex de 5 chambres et piscine a vendre a agbalepedo villa vente inconnu inconnu,https://www.facebook.com/marketplace/item/25065858829765291/,https://scontent-cph2-1.xx.fbcdn.net/v/t39.30808-6/605725558_1400301158494302_847395818274058042_n.jpg?stp=c0.67.810.810a_dst-jpg_s261x260_tt6&_nc_cat=100&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=ozE2XTxR8GAQ7kNvwGLh7B7&_nc_oc=Adngc3FpCoiOUkyp-sEGtHE2XglRHocwsAhTT-AAdNGhxlKWHenhpXbooliuqm9-19I&_nc_zt=23&_nc_ht=scontent-cph2-1.xx&_nc_gid=7-8TH4_1--jGZvEpr35VPQ&_nc_ss=8&oh=00_AfyUGb-iuIKffdGNFYKKJKMYKX1HT0gmxJTb02iOIrmR-w&oe=69AF433D
fb_69a97f8e85f1dd70f9aef2c3,Villa de 3chambre salon interne cuisine garage a hedrzanawoe ecobank,150000.0,True,Inconnu,Inconnu,Facebook,autre,chambre_salon,villa de 3chambre salon interne cuisine garage a hedrzanawoe ecobank chambre_salon autre inconnu inconnu,https://www.facebook.com/marketplace/item/1869657613737512/,https://scontent-cph2-1.xx.fbcdn.net/v/t39.30808-6/646611171_920593723915082_9043777580139728683_n.jpg?stp=c0.89.810.810a_dst-jpg_s261x260_tt6&_nc_cat=102&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=xNaezvhYPGcQ7kNvwHRl4hB&_nc_oc=AdlbG60Z-U-U3jVGb4iKyLfNUlgMLmm83bYF1jFAxo2xI95NG_VIS8AWVdP1WSGVkqI&_nc_zt=23&_nc_ht=scontent-cph2-1.xx&_nc_gid=7-8TH4_1--jGZvEpr35VPQ&_nc_ss=8&oh=00_AfwxHGCHwwyDKjYYTDdWKwAJr_WsiLZHZUZU6J6CF83RTg&oe=69AF38C3
