"id","document","metadata","titre","prix","ville","source","lien","image_url","date_migration"
"ask_69a97c3b85f1dd70f9aef227","Titre: Villa Lomé. Description: . Prix: 0.0 CFA. Ville: Tsevie.","{""lien"": ""#"", ""prix"": 0.0, ""image"": """", ""titre"": ""Villa Lomé"", ""ville"": ""Tsevie"", ""source"": ""ImmoAsk"", ""date_index"": ""2026-03-05""}","Villa Lomé","0.0","Tsevie","ImmoAsk","#","","2026-03-05 15:01:50.908205"
"ask_69a97c3b85f1dd70f9aef228","Titre: . Description: . Prix: 0.0 CFA. Ville: Lome.","{""lien"": ""#"", ""prix"": 0.0, ""image"": """", ""titre"": """", ""ville"": ""Lome"", ""source"": ""ImmoAsk"", ""date_index"": ""2026-03-05""}","","0.0","Lome","ImmoAsk","#","","2026-03-05 15:01:50.908205"
"ask_69a97c3b85f1dd70f9aef22a","Titre: . Description: . Prix: 0.0 CFA. Ville: Tabligbo.","{""lien"": ""#"", ""prix"": 0.0, ""image"": """", ""titre"": """", ""ville"": ""Tabligbo"", ""source"": ""ImmoAsk"", ""date_index"": ""2026-03-05""}","","0.0","Tabligbo","ImmoAsk","#","","2026-03-05 15:01:50.908205"
"ask_69a97c3b85f1dd70f9aef22e","Titre: . Description: . Prix: 0.0 CFA. Ville: Afagnan.","{""lien"": ""#"", ""prix"": 0.0, ""image"": """", ""titre"": """", ""ville"": ""Afagnan"", ""source"": ""ImmoAsk"", ""date_index"": ""2026-03-05""}","","0.0","Afagnan","ImmoAsk","#","","2026-03-05 15:01:50.908205"
"ask_69a97c3b85f1dd70f9aef251","Titre: villa,louer,lome,sagboville. Description: . Prix: 0.0 CFA. Ville: Lome.","{""lien"": ""#"", ""prix"": 0.0, ""image"": """", ""titre"": ""villa,louer,lome,sagboville"", ""ville"": ""Lome"", ""source"": ""ImmoAsk"", ""date_index"": ""2026-03-05""}","villa,louer,lome,sagboville","0.0","Lome","ImmoAsk","#","","2026-03-05 15:01:50.908205"
"ask_69a97c3b85f1dd70f9aef252","Titre: villa meublée,louer,lome,agoe. Description: . Prix: 0.0 CFA. Ville: Lome.","{""lien"": ""#"", ""prix"": 0.0, ""image"": """", ""titre"": ""villa meublée,louer,lome,agoe"", ""ville"": ""Lome"", ""source"": ""ImmoAsk"", ""date_index"": ""2026-03-05""}","villa meublée,louer,lome,agoe","0.0","Lome","ImmoAsk","#","","2026-03-05 15:01:50.908205"
"ask_69a97c3b85f1dd70f9aef254","Titre: villa,louer,lome,adidogome. Description: . Prix: 0.0 CFA. Ville: Lome.","{""lien"": ""#"", ""prix"": 0.0, ""image"": """", ""titre"": ""villa,louer,lome,adidogome"", ""ville"": ""Lome"", ""source"": ""ImmoAsk"", ""date_index"": ""2026-03-05""}","villa,louer,lome,adidogome","0.0","Lome","ImmoAsk","#","","2026-03-05 15:01:50.908205"
"ask_69a97c3b85f1dd70f9aef255","Titre: terrain,vendre,lome,djagble. Description: . Prix: 0.0 CFA. Ville: Lome.","{""lien"": ""#"", ""prix"": 0.0, ""image"": """", ""titre"": ""terrain,vendre,lome,djagble"", ""ville"": ""Lome"", ""source"": ""ImmoAsk"", ""date_index"": ""2026-03-05""}","terrain,vendre,lome,djagble","0.0","Lome","ImmoAsk","#","","2026-03-05 15:01:50.908205"
"ask_69a97c3b85f1dd70f9aef256","Titre: bureau,louer,lome,bernard cope. Description: . Prix: 0.0 CFA. Ville: Lome.","{""lien"": ""#"", ""prix"": 0.0, ""image"": """", ""titre"": ""bureau,louer,lome,bernard cope"", ""ville"": ""Lome"", ""source"": ""ImmoAsk"", ""date_index"": ""2026-03-05""}","bureau,louer,lome,bernard cope","0.0","Lome","ImmoAsk","#","","2026-03-05 15:01:50.908205"
"ask_69a97c3b85f1dd70f9aef257","Titre: boutique,louer,lome,agbalepedo. Description: . Prix: 0.0 CFA. Ville: Lome.","{""lien"": ""#"", ""prix"": 0.0, ""image"": """", ""titre"": ""boutique,louer,lome,agbalepedo"", ""ville"": ""Lome"", ""source"": ""ImmoAsk"", ""date_index"": ""2026-03-05""}","boutique,louer,lome,agbalepedo","0.0","Lome","ImmoAsk","#","","2026-03-05 15:01:50.908205"
"ask_69a97c3b85f1dd70f9aef258","Titre: villa,louer,lome,zossime. Description: . Prix: 0.0 CFA. Ville: Lome.","{""lien"": ""#"", ""prix"": 0.0, ""image"": """", ""titre"": ""villa,louer,lome,zossime"", ""ville"": ""Lome"", ""source"": ""ImmoAsk"", ""date_index"": ""2026-03-05""}","villa,louer,lome,zossime","0.0","Lome","ImmoAsk","#","","2026-03-05 15:01:50.908205"
"ask_69a97c3b85f1dd70f9aef265","Titre: studio meublé,louer,lome,kegue. Description: . Prix: 0.0 CFA. Ville: Lome.","{""lien"": ""#"", ""prix"": 0.0, ""image"": """", ""titre"": ""studio meublé,louer,lome,kegue"", ""ville"": ""Lome"", ""source"": ""ImmoAsk"", ""date_index"": ""2026-03-05""}","studio meublé,louer,lome,kegue","0.0","Lome","ImmoAsk","#","","2026-03-05 15:01:50.908205"
"ask_69a97c3b85f1dd70f9aef266","Titre: 3 chambres salon,louer,lome,lankouvi. Description: . Prix: 0.0 CFA. Ville: Lome.","{""lien"": ""#"", ""prix"": 0.0, ""image"": """", ""titre"": ""3 chambres salon,louer,lome,lankouvi"", ""ville"": ""Lome"", ""source"": ""ImmoAsk"", ""date_index"": ""2026-03-05""}","3 chambres salon,louer,lome,lankouvi","0.0","Lome","ImmoAsk","#","","2026-03-05 15:01:50.908205"
"ask_69a97c3b85f1dd70f9aef267","Titre: appartement meublé,louer,lome,agbalepedo. Description: . Prix: 0.0 CFA. Ville: Lome.","{""lien"": ""#"", ""prix"": 0.0, ""image"": """", ""titre"": ""appartement meublé,louer,lome,agbalepedo"", ""ville"": ""Lome"", ""source"": ""ImmoAsk"", ""date_index"": ""2026-03-05""}","appartement meublé,louer,lome,agbalepedo","0.0","Lome","ImmoAsk","#","","2026-03-05 15:01:50.908205"
"ask_69a97c3b85f1dd70f9aef268","Titre: villa,louer,lome,3k. Description: . Prix: 0.0 CFA. Ville: Lome.","{""lien"": ""#"", ""prix"": 0.0, ""image"": """", ""titre"": ""villa,louer,lome,3k"", ""ville"": ""Lome"", ""source"": ""ImmoAsk"", ""date_index"": ""2026-03-05""}","villa,louer,lome,3k","0.0","Lome","ImmoAsk","#","","2026-03-05 15:01:50.908205"
"ask_69a97c3b85f1dd70f9aef269","Titre: chambre salon,louer,lome,nukafu. Description: . Prix: 0.0 CFA. Ville: Lome.","{""lien"": ""#"", ""prix"": 0.0, ""image"": """", ""titre"": ""chambre salon,louer,lome,nukafu"", ""ville"": ""Lome"", ""source"": ""ImmoAsk"", ""date_index"": ""2026-03-05""}","chambre salon,louer,lome,nukafu","0.0","Lome","ImmoAsk","#","","2026-03-05 15:01:50.908205"
"ask_69a97c3b85f1dd70f9aef26a","Titre: terrain,vendre,lome,agbelouve. Description: . Prix: 0.0 CFA. Ville: Lome.","{""lien"": ""#"", ""prix"": 0.0, ""image"": """", ""titre"": ""terrain,vendre,lome,agbelouve"", ""ville"": ""Lome"", ""source"": ""ImmoAsk"", ""date_index"": ""2026-03-05""}","terrain,vendre,lome,agbelouve","0.0","Lome","ImmoAsk","#","","2026-03-05 15:01:50.908205"
"ask_69a97c3b85f1dd70f9aef26b","Titre: terrain,vendre,lome,kegue. Description: . Prix: 0.0 CFA. Ville: Lome.","{""lien"": ""#"", ""prix"": 0.0, ""image"": """", ""titre"": ""terrain,vendre,lome,kegue"", ""ville"": ""Lome"", ""source"": ""ImmoAsk"", ""date_index"": ""2026-03-05""}","terrain,vendre,lome,kegue","0.0","Lome","ImmoAsk","#","","2026-03-05 15:01:50.908205"
"ask_69a97c3b85f1dd70f9aef26c","Titre: villa meublée,vendre,lome,zanguera. Description: . Prix: 0.0 CFA. Ville: Lome.","{""lien"": ""#"", ""prix"": 0.0, ""image"": """", ""titre"": ""villa meublée,vendre,lome,zanguera"", ""ville"": ""Lome"", ""source"": ""ImmoAsk"", ""date_index"": ""2026-03-05""}","villa meublée,vendre,lome,zanguera","0.0","Lome","ImmoAsk","#","","2026-03-05 15:01:50.908205"
"ask_69a97c3b85f1dd70f9aef26d","Titre: chambre,louer,lome,totsi egblinkome. Description: . Prix: 0.0 CFA. Ville: Lome.","{""lien"": ""#"", ""prix"": 0.0, ""image"": """", ""titre"": ""chambre,louer,lome,totsi egblinkome"", ""ville"": ""Lome"", ""source"": ""ImmoAsk"", ""date_index"": ""2026-03-05""}","chambre,louer,lome,totsi egblinkome","0.0","Lome","ImmoAsk","#","","2026-03-05 15:01:50.908205"
